,"County, State",GEO ID,FSRR2010,State,County,Name,Broadband (%)
95,"Henry County, Georgia",0500000US13151,69,13,151,"Henry County, Georgia",0.90212351
96,"Houston County, Georgia",0500000US13153,66.2,13,153,"Houston County, Georgia",0.79523188
97,"Hawaii County, Hawaii",0500000US15001,52.7,15,001,"Hawaii County, Hawaii",0.7150346
98,"Honolulu County, Hawaii",0500000US15003,71,15,003,"Honolulu County, Hawaii",0.77995664
99,"Kootenai County, Idaho",0500000US16055,66.1,16,055,"Kootenai County, Idaho",0.78304768
100,"Kankakee County, Illinois",0500000US17091,71.4,17,091,"Kankakee County, Illinois",0.66624206
101,"LaSalle County, Illinois",0500000US17099,72.9,17,099,"LaSalle County, Illinois",0.72784501
102,"McHenry County, Illinois",0500000US17111,77.8,17,111,"McHenry County, Illinois",0.80592257
103,"McLean County, Illinois",0500000US17113,72.6,17,113,"McLean County, Illinois",0.8074075
104,"Macon County, Illinois",0500000US17115,70.7,17,115,"Macon County, Illinois",0.74736261
105,"Madison County, Illinois",0500000US17119,73.9,17,119,"Madison County, Illinois",0.75946617
106,"St. Clair County, Illinois",0500000US17163,70,17,163,"St. Clair County, Illinois",0.77415812
107,"Tazewell County, Illinois",0500000US17179,77.7,17,179,"Tazewell County, Illinois",0.83169264
108,"Hamilton County, Indiana",0500000US18057,77.3,18,057,"Hamilton County, Indiana",0.89651018
109,"Hendricks County, Indiana",0500000US18063,78.2,18,063,"Hendricks County, Indiana",0.66289628
110,"Johnson County, Indiana",0500000US18081,73.2,18,081,"Johnson County, Indiana",0.72117418
111,"Lake County, Indiana",0500000US18089,67.5,18,089,"Lake County, Indiana",0.68498844
112,"LaPorte County, Indiana",0500000US18091,67.6,18,091,"LaPorte County, Indiana",0.64951146
113,"Madison County, Indiana",0500000US18095,68.5,18,095,"Madison County, Indiana",0.71856236
114,"Porter County, Indiana",0500000US18127,74.6,18,127,"Porter County, Indiana",0.64814872
115,"St. Joseph County, Indiana",0500000US18141,70.5,18,141,"St. Joseph County, Indiana",0.62841862
116,"Black Hawk County, Iowa",0500000US19013,74.6,19,013,"Black Hawk County, Iowa",0.6754213000000001
117,"Johnson County, Iowa",0500000US19103,74.9,19,103,"Johnson County, Iowa",0.80865002
118,"Linn County, Iowa",0500000US19113,73.1,19,113,"Linn County, Iowa",0.88284296
119,"Polk County, Iowa",0500000US19153,73,19,153,"Polk County, Iowa",0.74169606
120,"Scott County, Iowa",0500000US19163,72.8,19,163,"Scott County, Iowa",0.78690308
121,"Douglas County, Kansas",0500000US20045,72.8,20,045,"Douglas County, Kansas",0.86161494
122,"Sedgwick County, Kansas",0500000US20173,69.5,20,173,"Sedgwick County, Kansas",0.69138068
123,"Shawnee County, Kansas",0500000US20177,72.4,20,177,"Shawnee County, Kansas",0.59785128
124,"Fayette County, Kentucky",0500000US21067,67.3,21,067,"Fayette County, Kentucky",0.80270022
125,"Jefferson County, Kentucky",0500000US21111,69.1,21,111,"Jefferson County, Kentucky",0.70442706
126,"Kenton County, Kentucky",0500000US21117,71.9,21,117,"Kenton County, Kentucky",0.76012397
127,"Calcasieu Parish, Louisiana",0500000US22019,63.8,22,019,"Calcasieu Parish, Louisiana",0.68582976
128,"East Baton Rouge Parish, Louisiana",0500000US22033,65.2,22,033,"East Baton Rouge Parish, Louisiana",0.68881792
129,"Jefferson Parish, Louisiana",0500000US22051,66.5,22,051,"Jefferson Parish, Louisiana",0.72466499
130,"Orleans Parish, Louisiana",0500000US22071,43.8,22,071,"Orleans Parish, Louisiana",0.65139264
131,"Ouachita Parish, Louisiana",0500000US22073,66.8,22,073,"Ouachita Parish, Louisiana",0.51799548
132,"St. Tammany Parish, Louisiana",0500000US22103,67.9,22,103,"St. Tammany Parish, Louisiana",0.83438009
133,"Kennebec County, Maine",0500000US23011,62.7,23,011,"Kennebec County, Maine",0.72868007
134,"Anne Arundel County, Maryland",0500000US24003,73,24,003,"Anne Arundel County, Maryland",0.80301112
135,"Baltimore County, Maryland",0500000US24005,73.4,24,005,"Baltimore County, Maryland",0.65753353
136,"Carroll County, Maryland",0500000US24013,78.1,24,013,"Carroll County, Maryland",0.80617523
137,"Charles County, Maryland",0500000US24017,71.5,24,017,"Charles County, Maryland",0.83525258
138,"Frederick County, Maryland",0500000US24021,75,24,021,"Frederick County, Maryland",0.67357534
139,"Harford County, Maryland",0500000US24025,75.9,24,025,"Harford County, Maryland",0.75945216
140,"Howard County, Maryland",0500000US24027,76.7,24,027,"Howard County, Maryland",0.89857233
141,"Montgomery County, Maryland",0500000US24031,76.1,24,031,"Montgomery County, Maryland",0.72728258
142,"Prince George's County, Maryland",0500000US24033,68.6,24,033,"Prince George's County, Maryland",0.80010629
143,"Washington County, Maryland",0500000US24043,69.6,24,043,"Washington County, Maryland",0.82537133
144,"Allegan County, Michigan",0500000US26005,69.5,26,005,"Allegan County, Michigan",0.79173422
145,"Berrien County, Michigan",0500000US26021,65.1,26,021,"Berrien County, Michigan",0.57003093
146,"Genesee County, Michigan",0500000US26049,68.5,26,049,"Genesee County, Michigan",0.71235698
147,"Jackson County, Michigan",0500000US26075,69.3,26,075,"Jackson County, Michigan",0.62694055
148,"Kent County, Michigan",0500000US26081,73.6,26,081,"Kent County, Michigan",0.85044116
149,"Macomb County, Michigan",0500000US26099,75.4,26,099,"Macomb County, Michigan",0.78552669
150,"Monroe County, Michigan",0500000US26115,72.9,26,115,"Monroe County, Michigan",0.71015424
151,"Muskegon County, Michigan",0500000US26121,70.6,26,121,"Muskegon County, Michigan",0.68811113
152,"Oakland County, Michigan",0500000US26125,74,26,125,"Oakland County, Michigan",0.80167001
153,"Ottawa County, Michigan",0500000US26139,75.4,26,139,"Ottawa County, Michigan",0.73292202
154,"Saginaw County, Michigan",0500000US26145,72.2,26,145,"Saginaw County, Michigan",0.72819221
155,"St. Clair County, Michigan",0500000US26147,70.7,26,147,"St. Clair County, Michigan",0.7343564
156,"Washtenaw County, Michigan",0500000US26161,73.3,26,161,"Washtenaw County, Michigan",0.8777464
157,"Wayne County, Michigan",0500000US26163,63.1,26,163,"Wayne County, Michigan",0.6521579000000001
158,"Anoka County, Minnesota",0500000US27003,79.5,27,003,"Anoka County, Minnesota",0.78834087
159,"Dakota County, Minnesota",0500000US27037,78.8,27,037,"Dakota County, Minnesota",0.81850129
160,"Hennepin County, Minnesota",0500000US27053,76.2,27,053,"Hennepin County, Minnesota",0.6672982
161,"Ramsey County, Minnesota",0500000US27123,75.6,27,123,"Ramsey County, Minnesota",0.72627914
162,"St. Louis County, Minnesota",0500000US27137,68.3,27,137,"St. Louis County, Minnesota",0.67000216
163,"Washington County, Minnesota",0500000US27163,80.4,27,163,"Washington County, Minnesota",0.89237845
