,Name,Population,White,Black or African American,American Indian and Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Other,Broadband (%),GEO ID
169,"Calhoun County, Arkansas",5194.0,4000.0,1201.0,11.0,11.0,10.0,10.0,0.42222223,0500000US05013
170,"Clark County, Arkansas",22495.0,16519.0,5551.0,211.0,175.0,0.0,380.0,0.55704695,0500000US05019
171,"Bradley County, Arkansas",10994.0,6879.0,3238.0,183.0,0.0,6.0,719.0,0.47058824,0500000US05011
172,"Lawrence County, Arkansas",16777.0,16491.0,222.0,224.0,55.0,2.0,25.0,0.45454544,0500000US05075
173,"Monroe County, Arkansas",7420.0,4298.0,3143.0,42.0,37.0,0.0,89.0,0.5,0500000US05095
174,"Polk County, Arkansas",20212.0,19180.0,181.0,754.0,149.0,39.0,593.0,0.48101264,0500000US05113
175,"Conway County, Arkansas",20954.0,18480.0,2681.0,381.0,78.0,46.0,38.0,0.55056179,0500000US05029
176,"Ouachita County, Arkansas",24378.0,14299.0,10186.0,256.0,67.0,43.0,22.0,0.53005463,0500000US05103
177,"Newton County, Arkansas",7898.0,7724.0,4.0,304.0,42.0,0.0,12.0,0.55932206,0500000US05101
178,"Arkansas County, Arkansas",18352.0,13435.0,4964.0,46.0,9.0,0.0,92.0,0.44047618,0500000US05001
179,"Little River County, Arkansas",12494.0,9433.0,2617.0,292.0,25.0,0.0,337.0,0.53535354,0500000US05081
180,"Lonoke County, Arkansas",71568.0,65305.0,4708.0,895.0,1067.0,108.0,1165.0,0.80299014,0500000US05085
181,"Carroll County, Arkansas",27782.0,26320.0,476.0,686.0,314.0,186.0,436.0,0.53977275,0500000US05015
182,"Miller County, Arkansas",43760.0,31549.0,11388.0,1029.0,294.0,27.0,516.0,0.50488597,0500000US05091
183,"Modoc County, California",9017.0,8410.0,94.0,464.0,179.0,45.0,38.0,0.5471698,0500000US06049
184,"Merced County, California",267390.0,163264.0,11950.0,4533.0,23476.0,1574.0,75728.0,0.8539722,0500000US06047
185,"Lake County, California",64095.0,51260.0,1879.0,3055.0,1279.0,77.0,8207.0,0.81238818,0500000US06033
186,"Mariposa County, California",17658.0,16285.0,269.0,866.0,399.0,219.0,380.0,0.43103448,0500000US06043
187,"Yuba County, California",74644.0,59851.0,4108.0,3924.0,6428.0,713.0,6277.0,0.84311813,0500000US06115
188,"Contra Costa County, California",1123678.0,718665.0,119243.0,20847.0,217878.0,13042.0,117981.0,0.92991358,0500000US06013
189,"Inyo County, California",18195.0,15144.0,238.0,2332.0,360.0,52.0,607.0,0.55288458,0500000US06027
190,"Lassen County, California",31470.0,26088.0,2811.0,1384.0,561.0,321.0,954.0,0.50937498,0500000US06035
191,"Stanislaus County, California",535684.0,420765.0,20273.0,9910.0,36941.0,5826.0,66671.0,0.88135749,0500000US06099
192,"Santa Barbara County, California",442996.0,347736.0,12724.0,9403.0,31248.0,2373.0,60576.0,0.88128555,0500000US06083
193,"Sonoma County, California",500943.0,400960.0,13182.0,14927.0,28698.0,4429.0,68102.0,0.90702027,0500000US06097
