"County, State",GEO ID,FSRR2010,State,County
"Madison County, Florida",0500000US12079,51.6,12,079
"Manatee County, Florida",0500000US12081,62.8,12,081
"Marion County, Florida",0500000US12083,63.8,12,083
"Martin County, Florida",0500000US12085,65.2,12,085
"Miami-Dade County, Florida",0500000US12086,65.5,12,086
"Monroe County, Florida",0500000US12087,54.7,12,087
"Nassau County, Florida",0500000US12089,57.6,12,089
"Okaloosa County, Florida",0500000US12091,65.3,12,091
"Okeechobee County, Florida",0500000US12093,52.7,12,093
"Orange County, Florida",0500000US12095,62,12,095
"Osceola County, Florida",0500000US12097,52.7,12,097
"Palm Beach County, Florida",0500000US12099,63,12,099
"Pasco County, Florida",0500000US12101,65.5,12,101
"Pinellas County, Florida",0500000US12103,64.8,12,103
"Polk County, Florida",0500000US12105,60.3,12,105
"Putnam County, Florida",0500000US12107,52.1,12,107
"St. Johns County, Florida",0500000US12109,66.8,12,109
"St. Lucie County, Florida",0500000US12111,61.7,12,111
"Santa Rosa County, Florida",0500000US12113,69.8,12,113
"Sarasota County, Florida",0500000US12115,62.3,12,115
"Seminole County, Florida",0500000US12117,69,12,117
"Sumter County, Florida",0500000US12119,64.3,12,119
"Suwannee County, Florida",0500000US12121,57.2,12,121
"Taylor County, Florida",0500000US12123,47.1,12,123
"Union County, Florida",0500000US12125,56.3,12,125
"Volusia County, Florida",0500000US12127,62.8,12,127
"Wakulla County, Florida",0500000US12129,61.2,12,129
"Walton County, Florida",0500000US12131,57.5,12,131
"Washington County, Florida",0500000US12133,57.9,12,133
"Appling County, Georgia",0500000US13001,56.5,13,001
"Atkinson County, Georgia",0500000US13003,48.5,13,003
"Bacon County, Georgia",0500000US13005,56.5,13,005
"Baker County, Georgia",0500000US13007,42.4,13,007
"Baldwin County, Georgia",0500000US13009,57.1,13,009
"Banks County, Georgia",0500000US13011,63,13,011
"Barrow County, Georgia",0500000US13013,64.2,13,013
"Bartow County, Georgia",0500000US13015,66.8,13,015
"Ben Hill County, Georgia",0500000US13017,57.1,13,017
"Berrien County, Georgia",0500000US13019,55.9,13,019
"Bibb County, Georgia",0500000US13021,60.5,13,021
"Bleckley County, Georgia",0500000US13023,57.9,13,023
"Brantley County, Georgia",0500000US13025,49.7,13,025
"Brooks County, Georgia",0500000US13027,53.5,13,027
"Bryan County, Georgia",0500000US13029,62.5,13,029
"Bulloch County, Georgia",0500000US13031,55.4,13,031
"Burke County, Georgia",0500000US13033,58.3,13,033
"Butts County, Georgia",0500000US13035,59.6,13,035
"Calhoun County, Georgia",0500000US13037,51.4,13,037
"Camden County, Georgia",0500000US13039,60.1,13,039
"Candler County, Georgia",0500000US13043,52.9,13,043
"Carroll County, Georgia",0500000US13045,61.8,13,045
"Catoosa County, Georgia",0500000US13047,71,13,047
"Charlton County, Georgia",0500000US13049,49.4,13,049
"Chatham County, Georgia",0500000US13051,61.4,13,051
"Chattahoochee County, Georgia",0500000US13053,44.1,13,053
"Chattooga County, Georgia",0500000US13055,61.1,13,055
"Cherokee County, Georgia",0500000US13057,70.6,13,057
"Clarke County, Georgia",0500000US13059,63.2,13,059
"Clay County, Georgia",0500000US13061,39.1,13,061
"Clayton County, Georgia",0500000US13063,56.9,13,063
"Clinch County, Georgia",0500000US13065,50.5,13,065
"Cobb County, Georgia",0500000US13067,66.7,13,067
"Coffee County, Georgia",0500000US13069,60.3,13,069
"Colquitt County, Georgia",0500000US13071,61.1,13,071
"Columbia County, Georgia",0500000US13073,72.6,13,073
"Cook County, Georgia",0500000US13075,55.3,13,075
"Coweta County, Georgia",0500000US13077,69.7,13,077
"Crawford County, Georgia",0500000US13079,57.6,13,079
"Crisp County, Georgia",0500000US13081,55.7,13,081
"Dade County, Georgia",0500000US13083,61.1,13,083
"Dawson County, Georgia",0500000US13085,59.5,13,085
"Decatur County, Georgia",0500000US13087,60.4,13,087
"DeKalb County, Georgia",0500000US13089,63.6,13,089
"Dodge County, Georgia",0500000US13091,49.4,13,091
"Dooly County, Georgia",0500000US13093,50.5,13,093
"Dougherty County, Georgia",0500000US13095,66.5,13,095
"Douglas County, Georgia",0500000US13097,62.6,13,097
"Early County, Georgia",0500000US13099,50.7,13,099
"Echols County, Georgia",0500000US13101,50.3,13,101
"Effingham County, Georgia",0500000US13103,60,13,103
"Elbert County, Georgia",0500000US13105,64.6,13,105
"Emanuel County, Georgia",0500000US13107,52.2,13,107
"Evans County, Georgia",0500000US13109,51.5,13,109
"Fannin County, Georgia",0500000US13111,44.2,13,111
"Fayette County, Georgia",0500000US13113,72.9,13,113
"Floyd County, Georgia",0500000US13115,63.5,13,115
"Forsyth County, Georgia",0500000US13117,70.9,13,117
"Franklin County, Georgia",0500000US13119,58.5,13,119
"Fulton County, Georgia",0500000US13121,60.5,13,121
"Gilmer County, Georgia",0500000US13123,46,13,123
"Glascock County, Georgia",0500000US13125,66.1,13,125
